name,roaster,origin,variety,process,roast_level,tasting_notes,cupping_score,source_url
Cerrado Lot #10,Manhattan Coffee,"Brazil, Cerrado",Catuaí,honey,medium_dark,peanut|hazelnut|molasses,83.75,
Cerrado Lot #3,S&W Roasting,"Brazil, Cerrado",Yellow Bourbon,honey,medium_dark,milk chocolate|peanut|hazelnut,85.25,
Finca Karogoto Acaiá,Luna,"Brazil, Cerrado",Acaiá,natural,dark,dried fig|hazelnut|molasses,86.50,
Finca San José Yellow Bourbon,Luna,"Brazil, Cerrado",Yellow Bourbon,honey,medium,milk chocolate|dried fig|hazelnut,85.75,
Chapada Diamantina Lot #36,Dak Coffee,"Brazil, Chapada Diamantina",Catuaí,natural,dark,molasses|dried fig|milk chocolate,86.00,
Finca La Esperanza Acaiá,Square Mile,"Brazil, Chapada Diamantina",Acaiá,washed,medium_light,hazelnut|dried fig|molasses,84.75,
Finca Deri Kochoha,Koppi,"Brazil, Mogiana",Catuaí,natural,medium,dried fig|molasses|peanut,82.75,
Konga Mogiana,Ditta Artigianale,"Brazil, Mogiana",Catuaí,washed,light,peanut|molasses|hazelnut,84.75,
Mogiana Catuaí,Brandywine,"Brazil, Mogiana",Catuaí,washed,medium,peanut|molasses|milk chocolate,84.50,
Bumbogo Kayanza,Manhattan Coffee,"Burundi, Kayanza",Red Bourbon,anaerobic,medium_dark,cane sugar|clementine|cherry,86.75,
Finca Chelbesa Red Bourbon,La Cabra,"Burundi, Kayanza",Red Bourbon,anaerobic,dark,cherry|hibiscus|clementine,87.25,
Finca El Paraíso Red Bourbon,Gardelli,"Burundi, Kayanza",Red Bourbon,natural,medium,hibiscus|clementine|cherry,85.50,
Kayanza,Nomad Coffee,"Burundi, Kayanza",Red Bourbon,washed,light,cane sugar|clementine|hibiscus,85.75,
Kayanza Red Bourbon,Heart Roasters,"Burundi, Kayanza",Red Bourbon,honey,medium,cherry|clementine|hibiscus,85.00,
Finca Deri Kochoha,Passenger,"Burundi, Ngozi",Red Bourbon,washed,light,hibiscus|cherry|cane sugar,87.75,
Finca Deri Kochoha Red Bourbon,Black & White,"Burundi, Ngozi",Red Bourbon,anaerobic,dark,clementine|cane sugar|hibiscus,85.50,
Finca El Mirador,Prodigal,"Burundi, Ngozi",Red Bourbon,washed,medium_dark,cane sugar|hibiscus|clementine,87.00,
Nemba Ngozi,Rubens Gardelli,"Burundi, Ngozi",Red Bourbon,anaerobic,medium_dark,clementine|cane sugar|hibiscus,86.50,
Ngozi Lot #26,Heart Roasters,"Burundi, Ngozi",Red Bourbon,washed,medium,clementine|hibiscus|cane sugar,87.75,
Ngozi Lot #33,Hydrangea,"Burundi, Ngozi",Red Bourbon,honey,light,cane sugar|hibiscus|clementine,87.00,
Ngozi Lot #37,Passenger,"Burundi, Ngozi",Red Bourbon,washed,medium,hibiscus|cherry|cane sugar,87.50,
Ngozi Red Bourbon,Nomad Coffee,"Burundi, Ngozi",Red Bourbon,washed,medium,cane sugar|cherry|clementine,88.00,
Cauca,Bonanza,"Colombia, Cauca",Caturra,washed,medium_dark,orange|panela|plum,87.75,
Cauca Geisha,Heart Roasters,"Colombia, Cauca",Geisha,washed,dark,red apple|orange|caramel,87.50,
Cauca Lot #39,Sey Coffee,"Colombia, Cauca",Caturra,washed,light,panela|red apple|cherry,87.25,
Cauca Tabi,Onyx Coffee Lab,"Colombia, Cauca",Tabi,honey,medium,orange|panela|cherry,84.75,
Huila,April Coffee,"Colombia, Huila",Tabi,washed,medium_light,plum|caramel|cherry,85.00,
Huila,Heart Roasters,"Colombia, Huila",Tabi,honey,medium_light,red apple|chocolate|cherry,84.75,
Worka Huila,Coffee Collective,"Colombia, Huila",Geisha,anaerobic,dark,caramel|panela|plum,87.75,
